litter_id,litter_id_link,whelp_date,litter_registration,country_of_birth,sire_name,dam_name,breeders,birth_year
31308,Litter_Detail?LitterID=31308,"Dec 25, 2010",,Sweden,BERNTIERS OPUS ONE,HERREKVARNS AMIRA,ÖBERG GUSTAVSSON,2010
22690,Litter_Detail?LitterID=22690,"Dec 25, 2010",WS377612,USA,JABERWOCK'S BUTTERSLINGER,HONEYBEAR TO THE MANOR BORN,SQUIRES (IL),2010
21779,Litter_Detail?LitterID=21779,"Dec 24, 2010",,Finland,GOLDBEAR'S SUBURBAN,FUNATIC VANITY FAIR,RIKAMA,2010
27136,Litter_Detail?LitterID=27136,"Dec 24, 2010",WS378382,USA,CHAVERAH'S DRAGON RYDER,KT'S IN MEMORY OF MAYHEM,BROWN (NY),2010
27333,Litter_Detail?LitterID=27333,"Dec 24, 2010",WS361312,USA,ANATAR'S VINTAGE PREMIER CRU,DEGRASSO'S DEORA V ANATAR,DONNELLY-SCHOFFSTALL (VA),2010
35185,Litter_Detail?LitterID=35185,"Dec 24, 2010",,Netherlands,BOWY,LADY,DE JONG MANS (),2010
38182,Litter_Detail?LitterID=38182,"Dec 23, 2010",WS362719,USA,OPPIE SNA,BULTSMA'S PRINCESS COCO DELICE,UNKNOWN (),2010
56975,Litter_Detail?LitterID=56975,"Dec 23, 2010",,Netherlands,EDOUARD VAN'T PACHTHOF,INDYGO LAYA V. GERKESHOF,,2010
30769,Litter_Detail?LitterID=30769,"Dec 23, 2010",,Czech Republic,BERNERDALENS XANTÉ,GIBARA Z MOKROVOUS,JANDOVA (),2010
30384,Litter_Detail?LitterID=30384,"Dec 23, 2010",,France,DAC O DAC DU ROYAUME DES REVES,DEDICACE DU ROYAUME DES REVES,LE BIGOT,2010
30449,Litter_Detail?LitterID=30449,"Dec 23, 2010",,United Kingdom,JAYBIEM UTWO,MARKEILA LITTLE JEM AT BEAUCROFT,CARR () & JONES (),2010
27568,Litter_Detail?LitterID=27568,"Dec 22, 2010",WS361504,USA,DIAMANT DES SOURCES D'OLT,FALAFEL VAN 'T STOKERYBOS,CONWAY (CA),2010
22158,Litter_Detail?LitterID=22158,"Dec 22, 2010",WS361505,USA,FOREIGN SPY FROM THE BARKING BUNCH,NORTHSTAR'SBUTTERFLYINTHECLOUDS,BELL (NV),2010
22163,Litter_Detail?LitterID=22163,"Dec 22, 2010",WS364249,USA,IDEN VAN 'T STOKERYBOS,SWISS STAR'S SHE'S ALL THAT,KIRK (WY),2010
22256,Litter_Detail?LitterID=22256,"Dec 22, 2010",,Hungary,ANAHERA LOMPIN SILVER FERN,OREGHEGYI-MACKO EFFI,PILLAR (),2010
22939,Litter_Detail?LitterID=22939,"Dec 22, 2010",WS368111,USA,FOUR-T'S STEEL TOED BOOT,KELLEYZ BILLIE HOLIDAY V BEV'S,COPELAND (CA) & KELLEY (CA),2010
23045,Litter_Detail?LitterID=23045,"Dec 22, 2010",,Ireland,CARRAIGBERN DUKE OF WELLINGTON,SIANSELA MIAKODA LUNA,BUTLER,2010
55690,Litter_Detail?LitterID=55690,"Dec 22, 2010",,Netherlands,DIESEL V.D. HOGE VELUWE,JOLLY,UNKNOWN (),2010
42292,Litter_Detail?LitterID=42292,"Dec 22, 2010",,Australia,ZOLLIKON DREAM MACHINE,ZOLLIKON ALL EYES ON ME,SANKEY (VIC),2010
38789,Litter_Detail?LitterID=38789,"Dec 21, 2010",,Belgium,DONDIEGO VAN 'T STOKERYBOS,GRACE VAN 'T STOKERYBOS,DELRUE-VANDEWALLE () & DELRUE-VANDEWALLE,2010
22199,Litter_Detail?LitterID=22199,"Dec 21, 2010",WS367272,USA,AVATARS TRY TRY AGAIN,INDIAN HILL'S EARTH WIND AND FIRE,GEROW (NY),2010
22284,Litter_Detail?LitterID=22284,"Dec 21, 2010",,New Zealand,ALPENSPIRIT OCEAN'S APART,SCHALLENBERG SWEETEST THING,JURY,2010
22108,Litter_Detail?LitterID=22108,"Dec 21, 2010",WS364322,USA,SILVERTIP'S KODIAK JACK,TAPLACS GOING FOR BROKE,COX (WA) & SMITH-MEANS,2010
25647,Litter_Detail?LitterID=25647,"Dec 21, 2010",,Sweden,BERNTIERS ON DEMAND,LOVAHAGENS ELLI ENCHANTED,ODENFELT,2010
29913,Litter_Detail?LitterID=29913,"Dec 21, 2010",,France,DENVER DU MAS SAGRE SULOU,DY LADY DES SENTIERS DE L'OR VERT,VINCENT (),2010
26589,Litter_Detail?LitterID=26589,"Dec 20, 2010",,Italy,TAMIKA'S BARABBAS,STARRY TOWN ECOUTER SON COEUR,MAURO,2010
22286,Litter_Detail?LitterID=22286,"Dec 20, 2010",PENDING,USA,STONEMAPLE'S TRAILBLAZER V DE-LI,DE-LI'S TAKE A CLOSER LOOK,OSTERMILLER (NY),2010
22338,Litter_Detail?LitterID=22338,"Dec 20, 2010",,Argentina,BOOMERANG VUELTA DE LOS RIOS,PORT RUBY VAN'T RIJKENSPARK,VILLAMIL,2010
23789,Litter_Detail?LitterID=23789,"Dec 20, 2010",,Belgium,EMERSON VAN 'T STOKERYBOS,HADISE VAN'T STOKERYBOS,DELRUE-VANDEWALLE (),2010
37026,Litter_Detail?LitterID=37026,"Dec 20, 2010",WS366446,USA,LOT Z IPELSKEJ KOTLINY,DUTCH MAID SASHA,SCHMUCKER & SCHMUCKER,2010
34590,Litter_Detail?LitterID=34590,"Dec 20, 2010",WS364605,USA,KING OF THE MOUNTAIN,CHEYANNE,MARTIN,2010
30886,Litter_Detail?LitterID=30886,"Dec 20, 2010",WS376914,USA,TRIELLENS PRINCIPLES OF ACTION,OBSTGARTEN WRITTEN IN THE STARS,WOLF (NY),2010
44684,Litter_Detail?LitterID=44684,"Dec 19, 2010",WS364239,USA,NALA FARM'S TONKA TOY,NALA FARM'S BERNADOTTE GUSTAVUS,WARNER,2010
59647,Litter_Detail?LitterID=59647,"Dec 19, 2010",,Netherlands,MAX V.'T RIJKENSPARK,EASTERN CREEK MAKOTO TAMADA,,2010
49852,Litter_Detail?LitterID=49852,"Dec 19, 2010",,Poland,CHUCK TANAIS,ULTRA Z DEIKOWEJ DOLINY,GRABIA,2010
22887,Litter_Detail?LitterID=22887,"Dec 19, 2010",WS362145,USA,MAINE'S POPEYE STRONG TO THE FINISH,BLACKCORAL DIAMOND IN THE RUFF,CANDELARIA (ID) & GAINES (ID),2010
24514,Litter_Detail?LitterID=24514,"Dec 19, 2010",WS362325,USA,ADESA SPIN THE BOTTLE,ADESA SILVER LINING,HANCOCK & KINLEY-BLEWETT (OH),2010
30011,Litter_Detail?LitterID=30011,"Dec 19, 2010",,United Kingdom,JAYBIEM INNU ENDO,CLANQUAICH AONACH MEADHOIN,CUMMING (),2010
30525,Litter_Detail?LitterID=30525,"Dec 18, 2010",WS360827,USA,TITAN'S BIG BEAR,GENEVIEVES IN THE PALACE,RICE (MI),2010
29076,Litter_Detail?LitterID=29076,"Dec 18, 2010",,United Kingdom,GRABURLYNN FLOWRIDER OF BARONBERN,BARONBERN THE BLACK PEARL,BEANLAND,2010
37935,Litter_Detail?LitterID=37935,"Dec 18, 2010",,USA,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,UNKNOWN (),2010
36748,Litter_Detail?LitterID=36748,"Dec 18, 2010",UL227047XY,Canada,BELNOIS UNBELIEVE' LIVIN DREAM,SIBELLE,MATTE-PAQUET (QC),2010
32475,Litter_Detail?LitterID=32475,"Dec 18, 2010",1104426XY,Canada,THEO VOM HAUS WALLBERT,SZOSZI SUCI ALMA PEGGY,BARTEN (BC),2010
47892,Litter_Detail?LitterID=47892,"Dec 17, 2010",,Netherlands,JAN KLAASSEN FROM THE BARKING BUNCH,AMICE,VAN KUIJL,2010
63759,Litter_Detail?LitterID=63759,"Dec 17, 2010",WS362621,USA,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,,2010
29447,Litter_Detail?LitterID=29447,"Dec 17, 2010",,France,CAP'TAIN COOK DES VERTES PRAIRIES DU PAJOT,CHANEL DU CROT GALOP,PELOUIN (),2010
28404,Litter_Detail?LitterID=28404,"Dec 17, 2010",WS360167,USA,TUFF ENUF LOUIE,GERTRUD,DOSS (TX),2010
30442,Litter_Detail?LitterID=30442,"Dec 17, 2010",,United Kingdom,MAURIAC FROM BALIHARA RANCH AT CLANQUAICH,CINDERELLA OF INVERARDRAN,CHRISTIE (),2010
26185,Litter_Detail?LitterID=26185,"Dec 17, 2010",,Russia,LAD'S BOGART,SENNENHUND ROSSII ANDROMEDA,FEDOROVICHEVA (),2010
29106,Litter_Detail?LitterID=29106,"Dec 16, 2010",,France,SENNENLAND'S DO IT AGAIN,CHAKIRA DU DOMAINE DES MATALIS,BANIZETTE (),2010
36993,Litter_Detail?LitterID=36993,"Dec 16, 2010",WS360365,USA,E'S LORD ODYSSEUS,E'S BROKE THE BANK,UNKNOWN (),2010
39627,Litter_Detail?LitterID=39627,"Dec 16, 2010",WS365306,USA,BIG RED'S BUDDY,BIG RED'S SHADY,SCHAAF (NE),2010
41090,Litter_Detail?LitterID=41090,"Dec 16, 2010",,Italy,ODYSSEUS,ABBYE V T GASTELSVEER,LONATI (),2010
31992,Litter_Detail?LitterID=31992,"Dec 15, 2010",WS361141,USA,FOREIGN SPY FROM THE BARKING BUNCH,SWISS STARS AIN'T WHISTLING DIXIE,HEFNER (CA),2010
31132,Litter_Detail?LitterID=31132,"Dec 15, 2010",,USA,KING OF THE MOUNTAIN,KEL'S DREAM N BELLS OF HARMONY,MARTIN,2010
